date,total_closed_pnl,avg_closed_pnl,total_trade_volume,trade_count,net_trade_size,index_value,classification,lag_index_value,lag_classification,pnl_per_trade,pnl_per_volume,is_greed,sentiment_change
2025-01-27,41331.765392,53.469295461837,1508028.281058,773,193226.92369000008,71,Greed,73.0,Greed,53.469295461837,0.027407818481363314,1,-2.0
2025-01-28,17979.613973,36.103642516064255,579412.0645028818,498,-14772.630546229426,72,Greed,71.0,Greed,36.103642516064255,0.031030789785894377,1,1.0
2025-01-29,23421.01147,25.737375241758244,1897513.272527,910,-92796.70849999972,72,Greed,72.0,Greed,25.737375241758244,0.012343002712602497,1,0.0
2025-01-30,23097.471385,21.64711470009372,3014397.231249,1067,-143977.54244,70,Greed,72.0,Greed,21.64711470009372,0.007662384753262821,1,-2.0
2025-01-31,35868.296773,35.303441705708664,2783411.415887,1016,-208980.32388999965,76,Extreme Greed,70.0,Greed,35.303441705708664,0.012886451700338995,1,6.0
2025-02-01,32300.205017,50.946695610410096,1363746.251289,634,54293.54052999988,68,Greed,76.0,Extreme Greed,50.946695610410096,0.02368490838121106,1,-8.0
2025-02-02,162854.759623,123.46835452843062,5661092.351257195,1319,21944.491509999847,60,Greed,68.0,Greed,123.46835452843062,0.028767373771394808,1,-8.0
2025-02-03,348871.326269,146.58459086932774,22592901.397937045,2380,579302.3513503298,44,Fear,60.0,Greed,146.58459086932774,0.015441634526004501,0,-16.0
2025-02-04,416876.88812,165.9541752070064,15678409.382138,2512,-162346.36834000004,72,Greed,44.0,Fear,165.9541752070064,0.02658923350955084,1,28.0
2025-02-05,56706.235562,43.721075992289904,8743231.55327,1297,83686.16480000003,54,Neutral,72.0,Greed,43.721075992289904,0.006485729585966607,1,-18.0
2025-02-06,33803.799733,19.84955944392249,2818508.789804,1703,140281.27788000018,49,Neutral,54.0,Neutral,19.84955944392249,0.011993505166734189,0,-5.0
2025-02-07,22450.002091,14.730972500656168,3460263.544349,1524,149653.04478000104,44,Fear,49.0,Neutral,14.730972500656167,0.006487945731088425,0,-5.0
2025-02-08,586.703253,1.0203534834782608,839735.3870250001,575,35393.196430000244,44,Fear,44.0,Fear,1.0203534834782608,0.000698676347412918,0,0.0
2025-02-09,150551.829492,197.05736844502616,2920919.6308292,764,601689.0327199998,46,Neutral,44.0,Fear,197.05736844502616,0.05154261277954465,0,2.0
